k,train_size,avg_training_time,avg_tokenization_time
50,500,0.057129566976800564,0.00017730030231177807
50,1000,0.06530738337896765,0.00013045016676187514
50,1500,0.1182465247809887,0.00013669994659721852
50,2000,0.1137283998541534,0.00012939143925905228
100,500,0.04281675014644861,0.00022221682593226433
100,1000,0.09294754979200662,0.0002294668462127447
100,1500,0.14032233338803052,0.00022552497684955597
100,2000,0.18746013357304037,0.00022765863686800004
150,500,0.05617259996943176,0.0003143667709082365
150,1000,0.12025555046275258,0.00031950799748301504
150,1500,0.1871650001965463,0.00031416681595146655
150,2000,0.2496029666159302,0.0003237000200897455
200,500,0.0661570833530277,0.000416700029745698
200,1000,0.14390774997882544,0.00042960839346051216
200,1500,0.2211572247557342,0.00042916662059724333
200,2000,0.29819790823385117,0.00043244208209216597
