k,train_size,avg_training_time,avg_tokenization_time
50,500,0.0231386,0.0001404
50,1000,0.0495936,0.0001414
50,1500,0.0726636,0.0001458
50,2000,0.0974476,0.0001472
100,500,0.0376138,0.0002478
100,1000,0.0816208,0.0002516
100,1500,0.1237406,0.0002498
100,2000,0.1656682,0.0002646
150,500,0.050489,0.00036219999999999997
150,1000,0.1062872,0.0003636
150,1500,0.1608554,0.0003576
150,2000,0.2129432,0.0003634
200,500,0.0579966,0.0004528
200,1000,0.1219782,0.0004662
200,1500,0.189889,0.000462
200,2000,0.2669466,0.0007014
